id,frameTime,voiceProb_sma_range,voiceProb_sma_stddev,voiceProb_sma_amean,voiceProb_sma_nnz,voiceProb_sma_duration,voiceProb_sma_upleveltime0.0,voiceProb_sma_downleveltime0.0,HNR_sma_range,HNR_sma_stddev,HNR_sma_amean,HNR_sma_nnz,HNR_sma_duration,HNR_sma_upleveltime0.0,HNR_sma_downleveltime0.0,F0_sma_range,F0_sma_stddev,F0_sma_amean,F0_sma_nnz,F0_sma_duration,F0_sma_upleveltime0.0,F0_sma_downleveltime0.0,jitterLocal_sma_range,jitterLocal_sma_stddev,jitterLocal_sma_amean,jitterLocal_sma_nnz,jitterLocal_sma_duration,jitterLocal_sma_upleveltime0.0,jitterLocal_sma_downleveltime0.0,jitterDDP_sma_range,jitterDDP_sma_stddev,jitterDDP_sma_amean,jitterDDP_sma_nnz,jitterDDP_sma_duration,jitterDDP_sma_upleveltime0.0,jitterDDP_sma_downleveltime0.0,shimmerLocal_sma_range,shimmerLocal_sma_stddev,shimmerLocal_sma_amean,shimmerLocal_sma_nnz,shimmerLocal_sma_duration,shimmerLocal_sma_upleveltime0.0,shimmerLocal_sma_downleveltime0.0,pcm_intensity_sma_range,pcm_intensity_sma_stddev,pcm_intensity_sma_amean,pcm_intensity_sma_nnz,pcm_intensity_sma_duration,pcm_intensity_sma_upleveltime0.0,pcm_intensity_sma_downleveltime0.0
56896-029,0.0,0.8264123999999999,0.1575905,0.6024967,385,385,384,1,340.7188,40.36136,9.746202,385,385,384,1,404.1179,91.24235,191.5415,343,343,342,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,2.4903000000000002e-05,2.6787419999999998e-06,1.021551e-06,385,385,384,1
81392-028,0.0,0.7963194,0.2067906,0.6707416,1156,1156,1155,1,491.8294,50.812870000000004,15.663120000000001,1156,1156,1155,1,451.51,99.75010999999999,199.9286,1004,1004,1003,1,0.2853813,0.12551980000000001,0.1828715,538,538,537,1,0.1806674,0.06450982,0.23781529999999998,307,307,306,1,0.8073731,0.3476305,0.248151,744,744,515,229,1.2063039999999999e-05,1.506167e-06,9.693098e-07,1156,1156,1155,1
81392-040,0.0,0.8188158,0.20594810000000002,0.6928331,365,365,364,1,192.354,23.30746,9.557528,365,365,364,1,365.0829,62.84251,199.6404,321,321,320,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.0283589999999999e-05,1.502505e-06,1.120775e-06,365,365,364,1
81392-027,0.0,0.7137276,0.2055562,0.6841071999999999,315,315,314,1,489.3284,40.04979,13.547820000000002,315,315,314,1,420.973,73.4736,199.2212,275,275,274,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.04019133,0.00694319,0.05877982,40,40,39,1,1.428646e-05,1.683764e-06,8.680805e-07,315,315,314,1
76373-003,0.0,0.7734218,0.227473,0.5068682,205,205,204,1,480.6847,91.54108000000001,30.009190000000004,205,205,204,1,229.4152,54.586830000000006,167.862,125,125,124,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,3.1557640000000004e-07,5.1690769999999996e-08,2.669655e-08,205,205,204,1
81392-018,0.0,0.796191,0.2010235,0.6288618,1096,1096,1095,1,482.628,58.08841999999999,20.92977,1096,1096,1095,1,450.062,115.8927,220.5805,903,903,902,1,0.40704759999999995,0.139905,0.2122041,584,584,520,64,0.1863025,0.06842828,0.11581210000000002,459,459,357,102,0.153451,0.066181,0.06118293,729,729,728,1,1.1006220000000001e-05,1.5830279999999998e-06,8.388487e-07,1096,1096,1095,1
95407-000,0.0,0.8469403,0.1868671,0.5852689999999999,496,496,495,1,480.9781,60.40186,17.95188,496,496,495,1,451.2212,101.5617,184.1321,391,391,390,1,0.1196865,0.01435962,0.1774177,85,85,84,1,0.0,0.0,0.0,0,0,0,0,0.2797522,0.07781087,0.26730329999999997,165,165,164,1,2.422544e-06,3.769932e-07,1.846809e-07,496,496,495,1
56896-000,0.0,0.8704149999999999,0.2272506,0.5028654,395,395,394,1,476.3843,176.5996,129.9449,395,395,394,1,373.4797,76.96358000000001,163.4742,245,245,244,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.254016e-06,1.391751e-07,6.495143e-08,395,395,394,1
47939-014,0.0,0.7856204999999999,0.2100611,0.6462479999999999,575,575,574,1,485.9236,46.29599,13.60755,575,575,574,1,429.9975,70.95510999999999,176.4817,475,475,474,1,0.20850320000000003,0.04757767,0.2573987,153,153,152,1,0.01684164,0.001986599,0.02497538,88,88,87,1,0.31423190000000006,0.1318914,0.14589059999999998,288,288,287,1,8.715763e-06,1.086509e-06,5.789190999999999e-07,575,575,574,1
47939-016,0.0,0.7376606,0.12344949999999999,0.357023,205,205,204,1,486.2587,160.1989,95.57453000000001,205,205,204,1,425.2285,97.93249,199.4657,53,53,52,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.5518879999999998e-06,2.341855e-07,1.1046939999999999e-07,205,205,204,1
81392-029,0.0,0.760918,0.20684149999999998,0.6590914000000001,486,486,485,1,341.5601,30.21707,11.44005,486,486,485,1,447.522,104.3978,198.6223,419,419,418,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0145247,0.005929685,0.0145247,3,3,2,1,9.802787e-06,1.600029e-06,1.0438089999999999e-06,486,486,485,1
58812-003,0.0,0.7950839,0.2170877,0.5269731,125,125,124,1,333.6114,50.76735,11.62487,125,125,124,1,448.4261,111.4075,219.1141,90,90,89,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,6.046077e-06,1.246625e-06,5.659001999999999e-07,125,125,124,1
80292-005,0.0,0.779845,0.2349699,0.7182316,156,156,155,1,186.3532,24.62022,15.2091,156,156,155,1,401.5127,98.78645,298.4041,142,142,141,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,8.172416e-06,2.043966e-06,1.470175e-06,156,156,155,1
45758-005,0.0,0.7715743,0.1713615,0.4462188,76,76,75,1,487.0159,99.15626,25.63482,76,76,75,1,324.078,92.83686,196.9906,44,44,43,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,3.628992e-06,8.625193e-07,6.425865e-07,76,76,75,1
81392-036,0.0,0.797151,0.2258151,0.6799338,536,536,535,1,190.2086,22.50585,10.18645,536,536,535,1,460.588,78.64558000000001,195.6166,446,446,445,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.01005722,0.000964815,0.01497325,134,134,133,1,8.577453e-06,1.448664e-06,1.0184699999999999e-06,536,536,535,1
47647-004,0.0,0.6833581,0.15611889999999998,0.48109890000000005,145,145,144,1,477.9037,68.30078,17.39303,145,145,144,1,302.833,75.79552,178.4402,86,86,85,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,3.355423e-06,4.948852e-07,1.765624e-07,145,145,144,1
26753-007,0.0,0.6919026999999999,0.1464558,0.6683276,96,96,95,1,50.69283,9.758335,5.408487,96,96,95,1,140.0638,27.2558,113.0248,91,91,90,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.646175e-05,3.143144e-06,2.605267e-06,96,96,95,1
26753-021,0.0,0.908379,0.17444110000000002,0.5921048000000001,1693,1693,1692,1,484.3372,96.41635,38.9174,1693,1693,1692,1,466.1233,102.6728,154.8396,1394,1394,1393,1,0.2547489,0.1002469,0.1658149,892,892,837,55,0.1427368,0.05787652,0.06788407,791,791,395,396,0.9238384,0.3130051,0.6401764,950,950,949,1,2.231453e-05,1.814323e-06,6.071827e-07,1693,1693,1692,1
26753-004,0.0,0.5807465,0.1278214,0.6981549,145,145,144,1,49.47917,8.597729,6.904642999999999,145,145,144,1,147.9964,28.419420000000002,119.2828,142,142,141,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,3.438077e-05,5.82105e-06,5.129138e-06,145,145,144,1
56896-020,0.0,0.6932401999999999,0.1168413,0.6638649,125,125,124,1,34.39411,5.642748,7.488516000000001,125,125,124,1,282.5515,33.86923,119.691,123,123,122,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,2.220507e-06,4.5021770000000004e-07,2.9060870000000003e-07,125,125,124,1
56896-002,0.0,0.7787195,0.1520745,0.6351585,555,555,554,1,480.3289,92.52831,36.581309999999995,555,555,554,1,443.4146,78.4282,154.2449,503,503,502,1,0.3116364,0.1090983,0.374116,88,88,87,1,0.2242526,0.04072894,0.32703509999999997,36,36,35,1,0.9325776,0.37421420000000005,0.3677728,228,228,227,1,2.861706e-06,3.668422e-07,1.900937e-07,555,555,554,1
80292-002,0.0,0.7346606,0.23462429999999998,0.6506013,136,136,135,1,491.9543,120.9888,57.44221999999999,136,136,135,1,413.5858,99.75347,278.9899,107,107,106,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,8.094533e-06,1.6912639999999999e-06,1.3132339999999999e-06,136,136,135,1
44574-005,0.0,0.6338092,0.12678989999999998,0.5379109000000001,116,116,115,1,327.1385,62.87125,20.390520000000002,116,116,115,1,189.3498,40.123909999999995,118.2591,98,98,97,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.3235550000000002e-06,3.017183e-07,1.8425899999999998e-07,116,116,115,1
26753-013,0.0,0.772927,0.2278209,0.6701256999999999,135,135,134,1,49.4639,12.186110000000001,6.250554,135,135,134,1,404.9472,118.4347,176.4103,109,109,108,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,3.455054e-06,8.692915000000001e-07,8.074141999999999e-07,135,135,134,1
81392-005,0.0,0.768786,0.21801679999999996,0.6431951,356,356,355,1,329.8878,35.3279,13.86876,356,356,355,1,460.3108,108.6454,221.4746,297,297,296,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.002701194,0.0003514365,0.0039955170000000005,72,72,71,1,6.783061e-06,1.40732e-06,9.176472e-07,356,356,355,1
56896-018,0.0,0.5693126000000001,0.1495213,0.6328683,145,145,144,1,169.9127,22.4569,8.117461,145,145,144,1,411.8996,98.18574,222.4878,134,134,132,2,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.470695e-06,2.6675590000000004e-07,1.448876e-07,145,145,144,1
81392-006,0.0,0.752107,0.2115127,0.5626746,375,375,374,1,186.9996,28.86852,6.8817520000000005,375,375,374,1,450.307,103.3688,213.2003,288,288,287,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.009146757,0.001241497,0.01351226,66,66,65,1,1.278235e-05,1.5102760000000001e-06,8.882975999999999e-07,375,375,374,1
95407-004,0.0,0.8790199000000001,0.168156,0.5718831,2595,2595,2594,1,481.764,111.5088,44.55312,2595,2595,2594,1,466.7281,110.2756,189.0102,2112,2112,2111,1,0.5181394,0.1307335,0.28001329999999997,2095,2095,1986,109,0.2590232,0.08422104,0.10212689999999999,1824,1824,1725,99,0.9818231,0.3312637,0.434895,2258,2258,2127,131,6.608919e-06,3.0152590000000003e-07,1.143383e-07,2595,2595,2594,1
58812-002,0.0,0.6551581999999999,0.1746753,0.6766718,98,98,97,1,54.7623,11.54755,5.242121,98,98,97,1,358.6706,92.01044,262.6291,87,87,86,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,3.481961e-06,8.03968e-07,6.609640999999999e-07,98,98,97,1
76373-002,0.0,0.7677222,0.24750709999999998,0.5609002,86,86,85,1,46.23676,13.451179999999999,2.043339,86,86,85,1,273.555,65.55148,169.2149,56,56,55,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.006889e-06,2.471031e-07,1.6366759999999999e-07,86,86,85,1
56896-024,0.0,0.7467791,0.15383829999999998,0.6199897,205,205,204,1,471.4756,98.4294,34.82417,205,205,204,1,442.2295,114.4068,238.0012,191,191,190,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,2.669758e-07,5.529698000000001e-08,4.838641e-08,205,205,204,1
80292-008,0.0,0.6669786,0.2294955,0.6820046999999999,116,116,115,1,476.8431,146.9283,89.87021,116,116,115,1,419.4829,84.50803,265.5398,90,90,89,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,9.085564e-06,2.0199260000000002e-06,1.5349449999999999e-06,116,116,115,1
