id,frameTime,voiceProb_sma_range,voiceProb_sma_linregc1,voiceProb_sma_linregerrA,voiceProb_sma_stddev,voiceProb_sma_amean,voiceProb_sma_duration,voiceProb_sma_upleveltime0.0,voiceProb_sma_downleveltime0.0,HNR_sma_range,HNR_sma_linregc1,HNR_sma_linregerrA,HNR_sma_stddev,HNR_sma_amean,HNR_sma_duration,HNR_sma_upleveltime0.0,HNR_sma_downleveltime0.0,F0_sma_range,F0_sma_linregc1,F0_sma_linregerrA,F0_sma_stddev,F0_sma_amean,F0_sma_duration,F0_sma_upleveltime0.0,F0_sma_downleveltime0.0,jitterLocal_sma_range,jitterLocal_sma_linregc1,jitterLocal_sma_linregerrA,jitterLocal_sma_stddev,jitterLocal_sma_amean,jitterLocal_sma_duration,jitterLocal_sma_upleveltime0.0,jitterLocal_sma_downleveltime0.0,jitterDDP_sma_range,jitterDDP_sma_linregc1,jitterDDP_sma_linregerrA,jitterDDP_sma_stddev,jitterDDP_sma_amean,jitterDDP_sma_duration,jitterDDP_sma_upleveltime0.0,jitterDDP_sma_downleveltime0.0,shimmerLocal_sma_range,shimmerLocal_sma_linregc1,shimmerLocal_sma_linregerrA,shimmerLocal_sma_stddev,shimmerLocal_sma_amean,shimmerLocal_sma_duration,shimmerLocal_sma_upleveltime0.0,shimmerLocal_sma_downleveltime0.0,pcm_intensity_sma_range,pcm_intensity_sma_linregc1,pcm_intensity_sma_linregerrA,pcm_intensity_sma_stddev,pcm_intensity_sma_amean,pcm_intensity_sma_duration,pcm_intensity_sma_upleveltime0.0,pcm_intensity_sma_downleveltime0.0,speakingRate_sma_range,speakingRate_sma_linregc1,speakingRate_sma_linregerrA,speakingRate_sma_stddev,speakingRate_sma_amean,speakingRate_sma_duration,speakingRate_sma_upleveltime0.0,speakingRate_sma_downleveltime0.0,label
47939-012,0.0,0.7224054,0.001414429,0.11788210000000002,0.15588229999999997,0.42541890000000004,96,95,1,490.9257,0.5559301,99.17638000000001,134.671,60.8485,96,95,1,257.9422,1.47422,50.57273,64.7281,147.0883,50,49,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0820890000000004e-06,-4.2928299999999995e-09,3.452973e-07,5.533707e-07,2.893589e-07,96,95,1,10.83333,0.1631233,1.819021,3.4043300000000003,4.4736839999999995,57,56,1,0
78080-006,0.0,0.8199509,-0.001171503,0.15814820000000002,0.223813,0.7353265,193,192,1,53.49129,-0.04993007,9.040913,11.975810000000001,10.205639999999999,193,192,1,417.1569,0.009641941,28.966309999999996,55.22461,192.7986,172,171,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.776318e-06,-1.990652e-09,2.3314520000000002e-07,3.3853e-07,2.9436420000000004e-07,193,192,1,4.1666669999999995,0.014953,0.8366416999999999,1.2140520000000001,3.214286,154,153,1,0
81392-007,0.0,0.7638944999999999,2.909445e-05,0.1718576,0.1994962,0.6719734,655,654,1,483.1226,-0.05231066,20.547710000000002,47.394709999999996,16.62779,655,654,1,454.5494,-0.002080951,66.05781,92.55663,200.251,590,589,1,0.09517663,0.0004952099,0.01058676,0.0239337,0.08739892,142,141,1,0.02671761,8.294056e-05,0.001768274,0.004032847,0.03932026,53,52,1,0.02487195,4.9917790000000004e-05,0.004690015,0.007689804000000001,0.01521153,375,374,1,1.258347e-05,2.21413e-10,9.731591999999999e-07,1.535466e-06,8.719587e-07,655,654,1,12.5,0.008912261,1.589561,2.509316,6.826299000000001,616,615,1,3
91117-006,0.0,0.6579431,3.316232e-05,0.1284674,0.1509968,0.5874596,170,169,1,337.8015,-0.009663366,13.741179999999998,37.5678,6.469926,170,169,1,360.2404,-0.17679389999999998,55.65302,73.55233,184.5689,153,152,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.412771e-05,9.660984e-09,1.299812e-06,2.028784e-06,1.3047659999999999e-06,170,169,1,10.83333,0.07095321,1.2299950000000002,3.184641,8.549619,131,130,1,0
87083-015,0.0,0.6557826,0.003189059,0.1513015,0.1839677,0.522247,66,65,1,325.847,-0.38701820000000003,27.212870000000002,59.07725,17.32627,66,65,1,249.7837,1.462332,42.955290000000005,60.403319999999994,148.6287,41,40,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,7.509408e-06,2.755429e-08,9.689924999999999e-07,1.614937e-06,8.27456e-07,66,65,1,3.333333,0.01424501,0.6025113000000001,0.8281733,4.629630000000001,27,26,1,0
87083-000,0.0,0.6751640999999999,0.00031596580000000003,0.13259,0.165777,0.5636181,235,234,1,37.92864,0.02716566,7.064862,8.826253,0.25789989999999996,235,234,1,233.1537,0.03978092,25.90755,38.99892,92.70628,196,195,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,7.935956999999999e-06,-3.122009e-09,7.242028000000001e-07,1.225184e-06,6.838332e-07,235,234,1,7.5,0.01207145,1.894673,2.229302,4.6173470000000005,196,195,1,0
95465-009,0.0,0.7328965999999999,-8.540953000000002e-05,0.13238370000000002,0.1703033,0.7424868,466,465,1,80.1937,-0.001034277,8.782524,11.46072,10.14643,466,465,1,352.7015,-0.1764405,36.76614,56.800309999999996,181.7699,423,422,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.2027809,0.00024768020000000003,0.008797837,0.02432903,0.3005929,85,84,1,7.814491e-06,8.609186e-10,6.938604000000001e-07,1.09487e-06,7.3871e-07,466,465,1,7.5,0.0005351052,1.133684,1.437904,3.149883,427,426,1,0
81392-008,0.0,0.8016215999999999,9.710523e-06,0.1890053,0.2155176,0.6583439,1096,1095,1,346.6712,-0.002069553,13.4316,27.84693,10.832410000000001,1096,1095,1,449.5664,-0.05048402,59.458330000000004,86.76463000000001,186.1464,932,931,1,0.3589825,0.0006390695,0.0416488,0.09380607,0.1340305,418,417,1,0.08638063,5.965062e-06,0.002388683,0.007296679,0.1281329,176,175,1,0.1010653,6.521866e-05,0.03442813,0.04359936,0.03882997,815,814,1,7.783068e-06,-1.77895e-10,9.559889e-07,1.349296e-06,9.116278e-07,1096,1095,1,14.166670000000002,0.004174809,2.0919470000000002,2.874248,8.382214,1057,1056,1,3
87083-019,0.0,0.7375641,-0.0001599646,0.12899380000000002,0.1524716,0.4869425,275,274,1,338.5423,0.05121986,15.2448,37.55876,3.849328,275,274,1,275.2876,-0.2339755,32.330909999999996,46.9224,98.26496,187,186,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.4969900000000005e-06,-2.461769e-09,4.1584959999999993e-07,7.176388000000001e-07,4.705923e-07,275,274,1,8.333333,0.0052480159999999994,1.2371530000000002,1.629995,6.610169,236,235,1,0
26753-025,0.0,0.7168868,-0.00016787009999999998,0.1306433,0.16982979999999998,0.6434905,696,695,1,507.7989,0.02469961,17.12657,43.86032,12.94416,696,695,1,406.6336,0.1076249,40.07808,68.13252,120.8525,624,623,1,0.2037525,0.00013433129999999998,0.006620773000000001,0.02098617,0.3029941,116,115,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.3841119,0.001315124,0.08532042,0.1692341,0.14588620000000002,361,360,1,8.216781e-06,-1.4025220000000003e-09,9.257307e-07,1.333655e-06,9.282555000000001e-07,696,695,1,10.83333,0.007005858,1.983934,2.720293,5.559361,657,656,1,0
