id,frameTime,voiceProb_sma_range,voiceProb_sma_linregc1,voiceProb_sma_linregerrA,voiceProb_sma_stddev,voiceProb_sma_amean,voiceProb_sma_duration,voiceProb_sma_upleveltime0.0,voiceProb_sma_downleveltime0.0,HNR_sma_range,HNR_sma_linregc1,HNR_sma_linregerrA,HNR_sma_stddev,HNR_sma_amean,HNR_sma_duration,HNR_sma_upleveltime0.0,HNR_sma_downleveltime0.0,F0_sma_range,F0_sma_linregc1,F0_sma_linregerrA,F0_sma_stddev,F0_sma_amean,F0_sma_duration,F0_sma_upleveltime0.0,F0_sma_downleveltime0.0,jitterLocal_sma_range,jitterLocal_sma_linregc1,jitterLocal_sma_linregerrA,jitterLocal_sma_stddev,jitterLocal_sma_amean,jitterLocal_sma_duration,jitterLocal_sma_upleveltime0.0,jitterLocal_sma_downleveltime0.0,jitterDDP_sma_range,jitterDDP_sma_linregc1,jitterDDP_sma_linregerrA,jitterDDP_sma_stddev,jitterDDP_sma_amean,jitterDDP_sma_duration,jitterDDP_sma_upleveltime0.0,jitterDDP_sma_downleveltime0.0,shimmerLocal_sma_range,shimmerLocal_sma_linregc1,shimmerLocal_sma_linregerrA,shimmerLocal_sma_stddev,shimmerLocal_sma_amean,shimmerLocal_sma_duration,shimmerLocal_sma_upleveltime0.0,shimmerLocal_sma_downleveltime0.0,pcm_intensity_sma_range,pcm_intensity_sma_linregc1,pcm_intensity_sma_linregerrA,pcm_intensity_sma_stddev,pcm_intensity_sma_amean,pcm_intensity_sma_duration,pcm_intensity_sma_upleveltime0.0,pcm_intensity_sma_downleveltime0.0,label
45758-001,0.0,0.8161829,-0.0001193765,0.1805184,0.2142035,0.7287735,486,485,1,329.4339,-0.02157199,11.84432,22.24243,13.59864,486,485,1,303.509,-0.1173491,44.61299,60.952619999999996,205.6413,431,430,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.06307754,7.1929e-05,0.002650794,0.007440476,0.09354113,88,87,1,6.0269240000000005e-06,-4.245715e-10,7.79312e-07,1.050758e-06,8.085218000000001e-07,486,485,1,0
56896-008,0.0,0.6284712,0.0008124353999999999,0.11681810000000001,0.15069720000000003,0.6319326,145,144,1,180.5305,0.31155609999999995,14.77644,32.277159999999995,10.67646,145,144,1,195.7537,-0.1697352,17.652079999999998,30.059109999999997,131.495,123,122,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.2621069999999996e-06,-1.3793570000000002e-09,4.746754e-07,6.27263e-07,5.07254e-07,145,144,1,3
35063-000,0.0,0.3906679,0.003566008,0.06719708,0.09550573,0.4325759,26,25,1,23.27212,0.3970194,3.788649,5.526651,-5.30192,26,25,1,332.5327,-11.60926,104.371,120.8285,287.1206,7,6,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.8511230000000004e-06,-5.200144e-08,8.779139e-07,1.270654e-06,7.669269e-07,26,25,1,3
47939-010,0.0,0.7996436,0.0001584551,0.14154370000000002,0.18163210000000002,0.6527491999999999,396,395,1,64.9108,0.01304952,8.807138,11.43727,4.9420910000000005,396,395,1,432.7083,0.12401720000000001,54.92569,79.3843,237.7752,364,363,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,7.690076e-06,-1.392639e-09,1.081397e-06,1.492021e-06,1.046362e-06,396,395,1,0
47647-003,0.0,0.40764079999999997,-0.000793083,0.09698763,0.11432360000000001,0.4431844,36,35,1,38.42994,0.1847277,6.132619,8.854221,-7.43562,36,35,1,234.6575,5.73496,66.09047,85.08946999999999,243.3068,18,17,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.859135e-07,2.092708e-09,1.250709e-07,1.4548110000000002e-07,1.897418e-07,36,35,1,0
26753-015,0.0,0.8491434000000001,0.0001949464,0.1456251,0.1791662,0.5846029,496,495,1,489.7367,-0.06591588,43.42456,82.11806,27.46935,496,495,1,449.5089,0.5246850000000001,78.55544,115.2553,178.6513,412,411,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.07337521,2.316645e-05,0.0016770160000000001,0.006295215,0.1094077,168,167,1,2.650286e-06,-9.501830999999999e-11,1.957997e-07,2.944742e-07,1.890577e-07,496,495,1,0
26753-003,0.0,0.7896226,-0.00356587,0.16145179999999998,0.2204823,0.5285574000000001,91,90,1,170.3231,-0.004972939,14.732120000000002,29.038059999999998,3.964328,91,90,1,449.6498,0.1814417,92.21677,111.0398,234.2323,63,62,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.762766e-06,-3.734145e-09,3.240128e-07,4.357329e-07,3.024489e-07,91,90,1,0
35063-007,0.0,0.7813041999999999,-2.2639570000000004e-05,0.17534960000000002,0.2036821,0.5817036,896,895,1,501.215,-0.07414949,39.1151,78.50702,24.02691,896,895,1,457.7877,-0.1251402,74.19415,106.3213,182.4565,707,706,1,0.1290711,0.00014392540000000002,0.005367736,0.01514092,0.19143120000000002,89,88,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.00949684,-2.091831e-05,0.002363269,0.0038104379999999998,0.007663305,434,347,87,6.728167999999999e-06,5.924712e-10,5.828336e-07,8.652772e-07,4.945735999999999e-07,896,895,1,3
26753-010,0.0,0.9054648999999999,3.80326e-05,0.16024739999999998,0.1946753,0.6095331,996,995,1,484.1192,-0.05142926,59.75358000000001,100.2919,41.62679,996,995,1,457.7241,-0.21303049999999998,84.80704,121.4675,179.077,833,832,1,0.2686524,0.0002884487,0.02343374,0.04385275,0.2845868,361,360,1,0.05641561,0.00017757369999999998,0.008911911,0.01541583,0.0582037,225,224,1,0.2319469,0.0001474746,0.03522614,0.05683113,0.19025150000000002,661,660,1,8.418203e-06,4.893614e-10,5.178507e-07,8.522198e-07,4.489329e-07,996,995,1,0
81392-024,0.0,0.7422069,-0.002107381,0.15778810000000001,0.2239027,0.6409946,186,185,1,323.625,-0.308967,18.706039999999998,39.73639,15.418389999999999,186,185,1,154.8255,-0.5591977,20.88437,38.40555,136.6086,147,146,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,5.07717e-06,-1.1812690000000002e-08,7.838107e-07,1.267195e-06,9.093913e-07,186,185,1,3
