# gunzip -c /z/mkperez/PremanifestHD-classification/Data/Spont-Speech/set4/exp/mono_ali_clinician/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py /z/mkperez/PremanifestHD-classification/Data/Spont-Speech/set4/lang_all_clinician 
# Started at Mon Jan 28 18:51:05 EST 2019
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 46.8503937008% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 55.1181102362% of the time at utterance end.  This may not be optimal.
Overall, ay_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.9,24) frames.
Overall, l_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,12.1,37) frames.
Overall, ng_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.1,22) frames.
Overall, m_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.1,15) frames.
Overall, ah_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,8.0,21) frames.
Overall, r_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.7,21) frames.
Overall, f_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.0,21) frames.
Overall, uw_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,10.1,26) frames.
Overall, ao_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (14,15.5,37) frames.
Overall, d_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.6,15) frames.
Overall, ey_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.3,21) frames.
Overall, k_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.8,20) frames.
Overall, er_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.2,16) frames.
Overall, k_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.8,20) frames.
Overall, m_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.8,19) frames.
Overall, g_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.9,24) frames.
Overall, ay_S accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,13.7,42) frames.
Overall, l_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.3,30) frames.
Overall, ah_S accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.3,16) frames.
Overall, ow_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,7.6,23) frames.
Overall, er_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,10.8,24) frames.
Overall, p_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.8,20) frames.
Overall, ey_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.3,27) frames.
Overall, v_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.7,11) frames.
Overall, m_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.8,15) frames.
Overall, v_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.4,8) frames.
The optional-silence phone sil occupies 24.6% of frames overall 
Limiting the stats to the 89.7% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 19.9% of frames.
Assuming 100 frames per second, the alignments represent 0.2 hours of data, or 0.2 hours if sil frames are excluded.
Utterance-internal optional-silences sil comprise 5.7% of utterance-internal phones, with duration (median, mean, 95-percentile) = (22,35.1,98)
# Accounting: time=0 threads=1
# Ended (code 0) at Mon Jan 28 18:51:05 EST 2019, elapsed time 0 seconds
